type,units,512,1024,2048,4096,8192
sequential,1,1.000000,1.000000,1.000000,1.000000,1.000000
mp,12,0.160063,0.345977,0.439094,0.407076,0.372044
mp,10,0.223893,0.417674,0.528611,0.519815,0.457588
mp,8,0.307297,0.523486,0.642018,0.643973,0.593977
mp,4,0.573086,0.805525,0.902804,0.661594,0.715037
mp,2,0.761178,0.889561,0.990445,0.954890,0.873479
cf,12,0.329180,0.429273,0.473744,0.423358,0.371784
cf,10,0.342320,0.468488,0.548425,0.496516,0.436200
cf,8,0.405573,0.570173,0.656042,0.647519,0.592824
cf,4,0.686089,0.867636,0.943619,0.934587,0.918444
cf,2,0.688041,0.786214,0.793763,0.854909,0.877350
mpi4py,12,0.422410,0.436769,0.491763,0.465256,0.422536
mpi4py,10,0.539375,0.503564,0.613583,0.556985,0.520093
mpi4py,8,0.554957,0.619704,0.764357,0.726532,0.666658
mpi4py,4,1.004979,0.960647,0.993833,0.960292,0.960053
mpi4py,2,0.942733,0.913373,0.959573,0.869964,0.893644
numba,12,1.768598,0.999681,0.487738,0.331349,0.239482
