type,units,units,512,1024,2048,4096,8192
cf,12,0.4737441136791318,0.42335836367005664,0.3717838890760962,79.61836766064391,23.589518686718034,5.859640893002842
cf,10,0.5484253217435966,0.49651553738531734,0.4361999814413813,50.992249916743994,16.19671750428599,7.807169232194232
cf,8,0.656042427186597,0.6475187297011952,0.5928236746010115,35.47761140057381,12.021992252711064,2.659422392870925
cf,6,0.8956322787797047,0.8692466721401249,0.8489919048435347,27.82771152883059,8.177280937366346,2.3565590154675835
cf,4,0.943619403420534,0.9345873049448,0.9184444390177411,15.869312096350265,4.416564403334156,1.1459838991555755
cf,2,0.793763289764997,0.854908991618375,0.8773499327584127,5.778846206334893,1.3526087014994892,0.5409975631269511
mp,12,0.43909426857959905,0.4070759689581913,0.372044285353818,N/A,N/A,N/A
mp,10,0.5286114420222103,0.5198145749866598,0.4575876407470133,N/A,N/A,N/A
mp,8,0.6157473715376107,0.6332230963206086,0.5996666239670229,N/A,N/A,N/A
mp,6,0.8570435769469253,0.8594490752441358,0.8509589352779559,N/A,N/A,N/A
mp,4,0.90280364823241,0.6615936135650987,0.7150370513042397,N/A,N/A,N/A
mp,2,0.9904448269853331,0.9548896257236864,0.8734791190616326,N/A,N/A,N/A
mpi4py,12,0.4917625184786755,0.46525591221131907,0.4225362365846757,13.253322379224727,16.603953534646603,5.172121940801443
mpi4py,10,0.6135828774264029,0.556985178252924,0.5200931338233472,14.529854441639106,2.396236444425303,8.210223200935452
mpi4py,8,0.7643572437401208,0.726531602433714,0.6666578401601735,5.558966101410625,17.000576322990096,19.504902392840258
mpi4py,6,0.8848538453332039,0.8580073637976003,0.834143264309643,6.784879645977683,4.521452077842928,1.5905505296015425
mpi4py,4,0.9938325432663536,0.960292459557282,0.9600528390286807,5.101136547438155,1.4769090330747203,0.19368073829231713
mpi4py,2,0.959573457746264,0.8699636091942036,0.893644493432532,1.7926989891247747,0.6017385986370785,0.16323983630295152
numba,12,0.48773783833635465,0.33134852027399825,0.2394815628131002,N/A,N/A,N/A
