type,units,512,1024,2048,4096,8192
cf,12,0.796184,0.235895,0.058596,0.020209,0.005785
cf,10,0.509922,0.161967,0.078072,0.026021,0.005430
cf,8,0.354776,0.120220,0.026594,0.022173,0.003921
cf,4,0.158693,0.044166,0.011460,0.004241,0.002923
cf,2,0.057788,0.013526,0.005410,0.003192,0.002524
mpi4py,12,0.132533,0.166040,0.051721,0.023776,0.002844
mpi4py,10,0.145299,0.023962,0.082102,0.008762,0.021305
mpi4py,8,0.055590,0.170006,0.195049,0.074142,0.019154
mpi4py,4,0.051011,0.014769,0.001937,0.001665,0.001212
mpi4py,2,0.017927,0.006017,0.001632,0.022950,0.000551
