type,units,units,512,1024,2048,4096,8192
cf,12,5.151277210276127,5.684929364149581,5.08030036404068,4.461406668913154,0.32917996753568163,0.4292731008563439
cf,10,4.684877835569379,5.484253217435966,4.9651553738531735,4.361999814413813,0.342320175112436,0.46848778355693793
cf,8,4.561386645689817,5.248339417492776,5.180149837609561,4.742589396808092,0.40557321581032224,0.5701733307112271
cf,6,4.653888207658099,5.373793672678229,5.215480032840749,5.0939514290612085,0.5564994611359834,0.7756480346096831
cf,4,3.4705446012759857,3.774477613682136,3.7383492197792,3.6737777560709644,0.6860890727759282,0.8676361503189964
cf,2,1.5724272054906336,1.587526579529994,1.70981798323675,1.7546998655168253,0.6880410576714872,0.7862136027453168
mp,12,4.151723107136646,5.269131222955188,4.884911627498296,4.464531424245816,0.16006282222651172,0.3459769255947205
mp,10,4.176741118116843,5.286114420222104,5.198145749866598,4.575876407470133,0.2238932554901599,0.41767411181168435
mp,8,4.088967156841578,4.925978972300886,5.065784770564869,4.797332991736183,0.28993604466729994,0.5111208946051973
mp,6,4.379064470680318,5.142261461681552,5.156694451464815,5.105753611667735,0.4226805169105454,0.7298440784467197
mp,4,3.2221011936414485,3.61121459292964,2.646374454260395,2.8601482052169587,0.5730855969476769,0.8055252984103621
mp,2,1.779122356850929,1.9808896539706662,1.9097792514473728,1.7469582381232651,0.7611782840069076,0.8895611784254644
mpi4py,12,5.241231254102542,5.901150221744106,5.583070946535829,5.070434839016109,0.42240975388045787,0.4367692711752118
mpi4py,10,5.035635029685969,6.135828774264029,5.56985178252924,5.200931338233472,0.5393748306098453,0.503563502968597
mpi4py,8,4.957628794342689,6.1148579499209665,5.812252819469712,5.333262721281388,0.5549572074338718,0.6197035992928361
mpi4py,6,5.197795921681663,5.309123071999223,5.148044182785602,5.004859585857858,0.9067332548170043,0.8662993202802771
mpi4py,4,3.8425865048755488,3.9753301730654145,3.841169838229128,3.8402113561147226,1.0049789920592793,0.9606466262188872
mpi4py,2,1.8267452468015473,1.919146915492528,1.7399272183884071,1.787288986865064,0.9427330387588837,0.9133726234007736
numba,12,11.99617388136153,5.852854060036256,3.9761822432879788,2.8737787537572026,1.7685975124916646,0.9996811567801275
