type,units,time_512,time_1024,time_2048,time_4096,time_8192,speedup_512,speedup_1024,speedup_2048,speedup_4096,speedup_8192,efficiency_512,efficiency_1024,efficiency_2048,efficiency_4096,efficiency_8192,overhead_512,overhead_1024,overhead_2048,overhead_4096,overhead_8192
cf,12,0.31951379776000977,1.060638666152954,4.693162679672241,26.028011560440063,172.3280827999115,3.9501596104281798,5.151277210276127,5.684929364149581,5.08030036404068,4.461406668913154,0.32917996753568163,0.4292731008563439,0.4737441136791318,0.42335836367005664,0.3717838890760962,79.61836766064391,23.589518686718034,5.859640893002842,2.0208960949338612,0.5785434447265284
cf,10,0.3686988353729248,1.1662297248840332,4.864891767501831,26.631617069244385,176.25531649589539,3.42320175112436,4.684877835569379,5.484253217435966,4.9651553738531735,4.361999814413813,0.342320175112436,0.46848778355693793,0.5484253217435966,0.49651553738531734,0.4361999814413813,50.992249916743994,16.19671750428599,7.807169232194232,2.602123928987699,0.5429518039753733
cf,8,0.388995885848999,1.197803258895874,5.083569526672363,25.52631115913391,162.11094689369202,3.244585726482578,4.561386645689817,5.248339417492776,5.180149837609561,4.742589396808092,0.40557321581032224,0.5701733307112271,0.656042427186597,0.6475187297011952,0.5928236746010115,35.47761140057381,12.021992252711064,2.659422392870925,2.2173003158293145,0.3921108969268528
cf,6,0.37799692153930664,1.1739954948425293,4.964890718460083,25.35339331626892,150.92913007736206,3.3389967668159004,4.653888207658099,5.373793672678229,5.215480032840749,5.0939514290612085,0.5564994611359834,0.7756480346096831,0.8956322787797047,0.8692466721401249,0.8489919048435347,27.82771152883059,8.177280937366346,2.3565590154675835,1.9760834883340381,0.5843764202340779
cf,4,0.4599003791809082,1.5742900371551514,7.068606853485107,35.37125849723816,209.27386164665222,2.744356291103713,3.4705446012759857,3.774477613682136,3.7383492197792,3.6737777560709644,0.6860890727759282,0.8676361503189964,0.943619403420534,0.9345873049448,0.9184444390177411,15.869312096350265,4.416564403334156,1.1459838991555755,0.4240828276982329,0.29230419204459834
cf,2,0.9171912670135498,3.474656105041504,16.80620574951172,77.33578538894653,438.15222930908203,1.3760821153429743,1.5724272054906336,1.587526579529994,1.70981798323675,1.7546998655168253,0.6880410576714872,0.7862136027453168,0.793763289764997,0.854908991618375,0.8773499327584127,5.778846206334893,1.3526087014994892,0.5409975631269511,0.3192171463413144,0.25236098653080474
mp,12,0.6571016311645508,1.3159942626953125,5.063509941101074,27.069090843200684,172.2074692249298,1.9207538667181407,4.151723107136646,5.269131222955188,4.884911627498296,4.464531424245816,0.16006282222651172,0.3459769255947205,0.43909426857959905,0.4070759689581913,0.372044285353818,N/A,N/A,N/A,N/A,N/A
mp,10,0.5637197494506836,1.3081116676330566,5.047241926193237,25.437939405441284,168.01713800430298,2.238932554901599,4.176741118116843,5.286114420222104,5.198145749866598,4.575876407470133,0.2238932554901599,0.41767411181168435,0.5286114420222103,0.5198145749866598,0.4575876407470133,N/A,N/A,N/A,N/A,N/A
mp,8,0.5441417694091797,1.3361916542053223,5.416242837905884,26.102592706680298,160.26105737686157,2.3194883573383995,4.088967156841578,4.925978972300886,5.065784770564869,4.797332991736183,0.28993604466729994,0.5111208946051973,0.6157473715376107,0.6332230963206086,0.5996666239670229,N/A,N/A,N/A,N/A,N/A
mp,6,0.4976692199707031,1.247673749923706,5.18843674659729,25.642418384552002,150.5802505016327,2.5360831014632725,4.379064470680318,5.142261461681552,5.156694451464815,5.105753611667735,0.4226805169105454,0.7298440784467197,0.8570435769469253,0.8594490752441358,0.8509589352779559,N/A,N/A,N/A,N/A,N/A
mp,4,0.5505855083465576,1.6956772804260254,7.388178586959839,49.96651792526245,268.80623054504395,2.2923423877907076,3.2221011936414485,3.61121459292964,2.646374454260395,2.8601482052169587,0.5730855969476769,0.8055252984103621,0.90280364823241,0.6615936135650987,0.7150370513042397,N/A,N/A,N/A,N/A,N/A
mp,2,0.8290636539459229,3.070976972579956,13.468846321105957,69.23842978477478,440.09389638900757,1.5223565680138151,1.779122356850929,1.9808896539706662,1.9097792514473728,1.7469582381232651,0.7611782840069076,0.8895611784254644,0.9904448269853331,0.9548896257236864,0.8734791190616326,N/A,N/A,N/A,N/A,N/A
mpi4py,12,0.2489941120147705,1.0424351692199707,4.52120304107666,23.68411898612976,151.629136800766,5.0689170465654945,5.241231254102542,5.901150221744106,5.583070946535829,5.070434839016109,0.42240975388045787,0.4367692711752118,0.4917625184786755,0.46525591221131907,0.4225362365846757,13.253322379224727,16.603953534646603,5.172121940801443,2.377614415856024,0.28442100564390765
mpi4py,10,0.23399877548217773,1.084995985031128,4.3482794761657715,23.74032950401306,147.82461214065552,5.393748306098453,5.035635029685969,6.135828774264029,5.56985178252924,5.200931338233472,0.5393748306098453,0.503563502968597,0.6135828774264029,0.556985178252924,0.5200931338233472,14.529854441639106,2.396236444425303,8.210223200935452,0.8761590444364186,2.1304694982428685
mpi4py,8,0.2842855453491211,1.1020679473876953,4.363191843032837,22.750234842300415,144.15671944618225,4.439657659470974,4.957628794342689,6.1148579499209665,5.812252819469712,5.333262721281388,0.5549572074338718,0.6197035992928361,0.7643572437401208,0.726531602433714,0.6666578401601735,5.558966101410625,17.000576322990096,19.504902392840258,7.414229853950688,1.9153574771101751
mpi4py,6,0.23199224472045898,1.0511462688446045,5.0253682136535645,25.685505390167236,153.61582970619202,5.4403995289020255,5.197795921681663,5.309123071999223,5.148044182785602,5.004859585857858,0.9067332548170043,0.8662993202802771,0.8848538453332039,0.8580073637976003,0.834143264309643,6.784879645977683,4.521452077842928,1.5905505296015425,2.0686212812144205,0.16963456630213838
